Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
1,Abner,br BRA,DF,Juventude,20,2004,14.6,3,0,0,16,5,1,0,18,11,,,0,Matches,6c0ef11c
2,Nicolás Acevedo,uy URU,MF,Bahia,25,1999,18.8,6,0,0,44,28,0,10,30,42,,,0,Matches,6140be7b
3,Luciano Acosta,ar ARG,MF,Fluminense,30,1994,13.3,5,0,0,27,25,2,37,0,15,,,0,Matches,363ba6d7
4,Adriel,br BRA,MF,Sport Recife,18,2006,1.6,1,0,0,7,0,0,0,2,3,,,0,Matches,959e965c
5,Adson,br BRA,MF,Vasco da Gama,24,2000,2.3,0,0,0,2,3,0,7,0,3,,,0,Matches,eda38706
6,Braian Aguirre,ar ARG,DFMF,Internacional,24,2000,26.5,4,0,0,44,6,3,80,31,44,,,0,Matches,74b396d8
7,Carlos Alberto,br BRA,MFFW,Sport Recife,22,2002,3.7,1,0,0,7,0,1,4,9,4,,,0,Matches,08f48d96
8,Yuri Alberto,br BRA,FW,Corinthians,23,2001,22.3,3,0,0,23,44,12,5,3,9,,,0,Matches,65159211
9,José Aldo,br BRA,MF,Mirassol,26,1998,15.2,6,0,0,32,16,1,8,25,26,,,0,Matches,2f90595a
10,Alesson,br BRA,FWMF,Mirassol,25,1999,16.2,1,0,0,31,22,13,45,7,13,,,0,Matches,611e984e
11,Caio Alexandre,br BRA,MF,Bahia,25,1999,14.5,4,0,0,32,30,0,14,12,18,,,0,Matches,08ac23b7
12,Matheus Alexandre,br BRA,DF,Sport Recife,25,1999,19.8,9,1,1,29,14,0,48,37,30,,,0,Matches,0212e748
13,Alexsander,br BRA,MF,Atlético Mineiro,21,2003,9.2,3,0,0,19,18,0,5,12,22,,,0,Matches,b13e7a78
14,Alisson,br BRA,MF,São Paulo,31,1993,21.8,6,0,0,20,32,2,30,14,20,,,0,Matches,99139fa4
15,Allan,br BRA,MF,Palmeiras,20,2004,10.2,0,1,0,14,12,1,15,9,20,,,0,Matches,aae04867
16,Allan,br BRA,MF,Botafogo–RJ,34,1991,10.7,8,0,0,28,11,0,8,7,20,,,0,Matches,cc700722
17,Allan,br BRA,MF,Flamengo,27,1997,7.6,2,0,0,18,7,0,0,6,4,,,0,Matches,b15e93aa
18,Allanzinho,br BRA,MF,Fortaleza,24,2000,3.2,1,0,0,6,11,1,15,2,2,,,0,Matches,21e7822d
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,31,1993,29.0,6,2,0,23,11,0,12,30,21,,,1,Matches,b18a3023
20,Dyogo Alves,br BRA,GK,Flamengo,21,2004,1.0,0,0,0,0,1,0,0,0,0,,,0,Matches,be620844
21,Matheus Alves,br BRA,MF,São Paulo,19,2005,4.1,3,0,0,9,6,1,4,3,4,,,0,Matches,177f810f
22,Alysson,br BRA,MFFW,Grêmio,18,2006,19.1,6,0,0,25,64,3,33,17,24,,,0,Matches,99b63a82
23,Francis Amuzu,be BEL,MF,Grêmio,25,1999,12.7,4,0,0,10,23,3,39,0,8,,,0,Matches,4f0fbd15
24,Felipe Anderson,br BRA,MF,Palmeiras,31,1993,19.7,0,0,0,13,18,2,34,20,35,,,0,Matches,9f1893b9
