Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
1,Abner,br BRA,DF,Juventude,20,2004,19,13,1318,14.6,0,1,1,0,0,0,3,0,0,16,5,1,0,18,11,,,0
2,Nicolás Acevedo,uy URU,MF,Bahia,25,1999,32,18,1690,18.8,0,1,1,0,0,0,6,0,0,44,28,0,10,30,42,,,0
3,Luciano Acosta,ar ARG,MF,Fluminense,30,1994,16,15,1199,13.3,3,2,5,3,0,0,5,0,0,27,25,2,37,0,15,,,0
4,Adriel,br BRA,MF,Sport Recife,18,2006,5,1,148,1.6,0,0,0,0,0,0,1,0,0,7,0,0,0,2,3,,,0
5,Adson,br BRA,MF,Vasco da Gama,24,2000,10,0,210,2.3,0,0,0,0,0,0,0,0,0,2,3,0,7,0,3,,,0
6,Braian Aguirre,ar ARG,DFMF,Internacional,24,2000,30,28,2389,26.5,1,0,1,1,0,0,4,0,0,44,6,3,80,31,44,,,0
7,Carlos Alberto,br BRA,MFFW,Sport Recife,22,2002,9,4,330,3.7,0,0,0,0,0,0,1,0,0,7,0,1,4,9,4,,,0
8,Yuri Alberto,br BRA,FW,Corinthians,23,2001,26,21,2005,22.3,10,2,12,8,2,3,3,0,0,23,44,12,5,3,9,,,0
9,José Aldo,br BRA,MF,Mirassol,26,1998,30,15,1369,15.2,0,1,1,0,0,0,6,0,0,32,16,1,8,25,26,,,0
10,Alesson,br BRA,FWMF,Mirassol,25,1999,26,16,1456,16.2,6,5,11,6,0,0,1,0,0,31,22,13,45,7,13,,,0
11,Caio Alexandre,br BRA,MF,Bahia,25,1999,21,17,1303,14.5,0,1,1,0,0,0,4,0,0,32,30,0,14,12,18,,,0
12,Matheus Alexandre,br BRA,DF,Sport Recife,25,1999,26,20,1779,19.8,0,1,1,0,0,0,9,1,1,29,14,0,48,37,30,,,0
13,Alexsander,br BRA,MF,Atlético Mineiro,21,2003,14,8,828,9.2,1,0,1,1,0,0,3,0,0,19,18,0,5,12,22,,,0
14,Alisson,br BRA,MF,São Paulo,31,1993,31,21,1960,21.8,0,1,1,0,0,0,6,0,0,20,32,2,30,14,20,,,0
