Player,Nation,Pos,Squad,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,90s
Abner,br BRA,DF,Juventude,2004,19,13,1318,0,1,0,0,3,0,0,16,5,1,0,18,11,0,14.6
Adam Bareiro,py PAR,FW,Fortaleza,1996,21,10,886,7,2,1,2,7,1,0,32,23,2,2,0,10,0,9.8
Ademir Santos,br BRA,FWMF,Bahia,1995,30,26,1971,2,6,0,0,7,0,0,27,52,6,110,5,23,0,21.9
Aderlan Silva,br BRA,DFMF,Sport Recife,1990,14,10,920,0,0,0,0,5,0,0,16,11,1,28,14,7,0,10.2
Adonis Frías,ar ARG,DF,Santos,1998,13,12,1112,0,0,0,0,2,0,0,18,6,0,2,17,10,0,12.4
Adriano Martins,br BRA,DF,Juventude,1997,5,5,360,0,0,0,0,1,0,0,3,1,1,0,6,3,0,4.0
Adson,br BRA,MF,Vasco da Gama,2000,10,0,210,0,0,0,0,0,0,0,2,3,0,7,0,3,0,2.3
Agustín Canobbio,uy URU,MF,Fluminense,1998,30,27,2108,4,2,1,1,6,0,0,44,53,6,72,13,31,0,23.4
Agustín Giay,ar ARG,DFMF,Palmeiras,2004,29,21,1978,0,0,0,0,1,1,0,37,35,1,40,14,43,0,22.0
Agustín Rogel,uy URU,DF,Internacional,1997,5,5,450,0,0,0,0,0,0,0,6,1,0,0,0,6,0,5.0
Agustín Rossi,ar ARG,GK,Flamengo,1995,37,37,3330,0,0,0,0,3,0,0,0,10,0,0,0,0,0,37.0
Agustín Sant'Anna,uy URU,DF,RB Bragantino,1997,11,6,523,0,0,0,0,3,0,0,11,2,2,29,12,8,0,5.8
Aitor Cantalapiedra,es ESP,MFFW,Vitória,1996,19,18,1275,3,3,0,0,2,0,0,5,16,3,87,4,8,0,14.2
Alan Benítez,py PAR,DFMF,Internacional,1994,11,5,550,0,0,0,0,0,0,0,5,0,0,13,3,6,0,6.1
Alan Franco,ar ARG,DF,São Paulo,1996,29,28,2282,0,0,0,0,7,0,0,33,12,2,1,25,24,0,25.4
Alan Franco,ec ECU,MF,Atlético Mineiro,1998,30,30,2628,1,0,0,0,4,0,0,43,19,0,3,29,33,0,29.2
Alan Patrick,br BRA,MFFW,Internacional,1991,30,30,2506,11,7,6,7,6,0,0,26,44,6,138,4,19,0,27.8
Alan Rodríguez,uy URU,MF,Internacional,2000,15,11,943,0,1,0,0,2,0,0,12,12,1,11,10,21,0,10.5
Alan Ruschel,br BRA,DF,Juventude,1989,21,14,1230,0,0,0,0,6,0,0,18,28,3,37,14,11,0,13.7
Alesson,br BRA,FWMF,Mirassol,1999,26,16,1456,6,5,0,0,1,0,0,31,22,13,45,7,13,0,16.2
Alex Muralha,br BRA,GK,Mirassol,1989,7,7,630,0,0,0,0,2,0,0,0,1,0,0,0,0,0,7.0
