DF,FW,GK,MF,MFFW,Pos,Gls,Ast,CrdY,Fls,Fld,Off,Crs,Int,TklW
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.07,0.21,1.1,0.34,0.07,0.0,1.23,0.75
0.0,1.0,0.0,0.0,0.0,FW,0.71,0.2,0.71,3.27,2.35,0.2,0.2,0.0,1.02
0.0,1.0,0.0,0.0,0.0,FW,0.09,0.27,0.32,1.23,2.37,0.27,5.02,0.23,1.05
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.49,1.57,1.08,0.1,2.75,1.37,0.69
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.16,1.45,0.48,0.0,0.16,1.37,0.81
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.25,0.75,0.25,0.25,0.0,1.5,0.75
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,0.87,1.3,0.0,3.04,0.0,1.3
0.0,0.0,0.0,1.0,0.0,MF,0.17,0.09,0.26,1.88,2.26,0.26,3.08,0.56,1.32
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.05,1.68,1.59,0.05,1.82,0.64,1.95
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,1.2,0.2,0.0,0.0,0.0,1.2
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.08,0.0,0.27,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.52,1.9,0.34,0.34,5.0,2.07,1.38
0.0,0.0,0.0,0.0,1.0,MFFW,0.21,0.21,0.14,0.35,1.13,0.21,6.13,0.28,0.56
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,0.82,0.0,0.0,2.13,0.49,0.98
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.28,1.3,0.47,0.08,0.04,0.98,0.94
0.0,0.0,0.0,1.0,0.0,MF,0.03,0.0,0.14,1.47,0.65,0.0,0.1,0.99,1.13
0.0,0.0,0.0,0.0,1.0,MFFW,0.4,0.25,0.22,0.94,1.58,0.22,4.96,0.14,0.68
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.1,0.19,1.14,1.14,0.1,1.05,0.95,2.0
