Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Abner,br BRA,DF,Juventude,20,2004,19,13,1318,14.6,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,6c0ef11c
2,Nicolás Acevedo,uy URU,MF,Bahia,25,1999,32,18,1690,18.8,0,1,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,Matches,6140be7b
3,Luciano Acosta,ar ARG,MF,Fluminense,30,1994,16,15,1199,13.3,3,2,5,3,0,0,5,0,0.23,0.15,0.38,0.23,0.38,Matches,363ba6d7
4,Adriel,br BRA,MF,Sport Recife,18,2006,5,1,148,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,959e965c
5,Adson,br BRA,MF,Vasco da Gama,24,2000,10,0,210,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eda38706
6,Braian Aguirre,ar ARG,DFMF,Internacional,24,2000,30,28,2389,26.5,1,0,1,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches,74b396d8
7,Carlos Alberto,br BRA,MFFW,Sport Recife,22,2002,9,4,330,3.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,08f48d96
8,Yuri Alberto,br BRA,FW,Corinthians,23,2001,26,21,2005,22.3,10,2,12,8,2,3,3,0,0.45,0.09,0.54,0.36,0.45,Matches,65159211
9,José Aldo,br BRA,MF,Mirassol,26,1998,30,15,1369,15.2,0,1,1,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,Matches,2f90595a
10,Alesson,br BRA,FWMF,Mirassol,25,1999,26,16,1456,16.2,6,5,11,6,0,0,1,0,0.37,0.31,0.68,0.37,0.68,Matches,611e984e
11,Caio Alexandre,br BRA,MF,Bahia,25,1999,21,17,1303,14.5,0,1,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches,08ac23b7
12,Matheus Alexandre,br BRA,DF,Sport Recife,25,1999,26,20,1779,19.8,0,1,1,0,0,0,9,1,0.00,0.05,0.05,0.00,0.05,Matches,0212e748
13,Alexsander,br BRA,MF,Atlético Mineiro,21,2003,14,8,828,9.2,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches,b13e7a78
14,Alisson,br BRA,MF,São Paulo,31,1993,31,21,1960,21.8,0,1,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,Matches,99139fa4
15,Allan,br BRA,MF,Palmeiras,20,2004,28,8,921,10.2,2,3,5,2,0,0,0,1,0.20,0.29,0.49,0.20,0.49,Matches,aae04867
16,Allan,br BRA,MF,Botafogo–RJ,34,1991,21,11,965,10.7,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,cc700722
17,Allan,br BRA,MF,Flamengo,27,1997,13,9,683,7.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b15e93aa
18,Allanzinho,br BRA,MF,Fortaleza,24,2000,9,2,287,3.2,0,2,2,0,0,0,1,0,0.00,0.63,0.63,0.00,0.63,Matches,21e7822d
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,31,1993,31,31,2610,29.0,1,1,2,1,0,0,6,2,0.03,0.03,0.07,0.03,0.07,Matches,b18a3023
20,Dyogo Alves,br BRA,GK,Flamengo,21,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,be620844
21,Matheus Alves,br BRA,MF,São Paulo,19,2005,8,4,371,4.1,0,1,1,0,0,0,3,0,0.00,0.24,0.24,0.00,0.24,Matches,177f810f
22,Alysson,br BRA,MFFW,Grêmio,18,2006,31,21,1718,19.1,1,2,3,1,0,0,6,0,0.05,0.10,0.16,0.05,0.16,Matches,99b63a82
23,Francis Amuzu,be BEL,MF,Grêmio,25,1999,22,13,1145,12.7,4,2,6,4,0,0,4,0,0.31,0.16,0.47,0.31,0.47,Matches,4f0fbd15
24,Felipe Anderson,br BRA,MF,Palmeiras,31,1993,31,24,1773,19.7,4,2,6,4,0,0,0,0,0.20,0.10,0.30,0.20,0.30,Matches,9f1893b9
25,Kervin Andrade,ve VEN,MF,Fortaleza,19,2005,7,1,163,1.8,0,1,1,0,0,0,3,0,0.00,0.55,0.55,0.00,0.55,Matches,4d3dafbc
26,André,br BRA,MF,Corinthians,18,2006,9,1,315,3.5,2,0,2,2,0,0,0,0,0.57,0.00,0.57,0.57,0.57,Matches,867660e8
27,José Andrés Martínez,ve VEN,MF,Corinthians,30,1994,24,17,1396,15.5,1,1,2,1,0,0,11,2,0.06,0.06,0.13,0.06,0.13,Matches,c8364e8e
28,Wilker Ángel,ve VEN,DF,Juventude,31,1993,18,16,1423,15.8,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches,1155a7ba
29,Fabrizio Angileri,ar ARG,DF,Corinthians,30,1994,28,17,1638,18.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,fdd26d71
30,Anthoni,br BRA,GK,Internacional,23,2002,18,16,1530,17.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a0b17b31
31,Marcos Antônio,br BRA,MF,São Paulo,24,2000,28,23,1896,21.1,0,4,4,0,0,0,4,0,0.00,0.19,0.19,0.00,0.19,Matches,108fe016
32,Léo Aragão,br BRA,GK,Cruzeiro,22,2002,4,3,334,3.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,47e05bd9
33,Guilherme Arana,br BRA,DFMF,Atlético Mineiro,27,1997,25,20,1748,19.4,1,1,2,1,0,0,7,0,0.05,0.05,0.10,0.05,0.10,Matches,2b15a82a
34,Willian Arão,br BRA,MF,Santos,32,1992,13,9,779,8.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f47a530a
35,Luiz Araújo,br BRA,MF,Flamengo,28,1996,35,15,1765,19.6,7,3,10,7,0,0,2,0,0.36,0.15,0.51,0.36,0.51,Matches,fa18c72e
36,Matheus Araújo,br BRA,MF,Ceará,22,2002,11,2,270,3.0,1,1,2,1,0,0,0,0,0.33,0.33,0.67,0.33,0.67,Matches,2b0a4a75
37,Michel Araujo,uy URU,MF,Bahia,28,1996,24,8,852,9.5,4,1,5,4,0,0,3,0,0.42,0.11,0.53,0.42,0.53,Matches,1159e4ae
38,Alexander Aravena,cl CHI,MF,Grêmio,22,2002,22,3,581,6.5,3,0,3,3,0,0,1,0,0.46,0.00,0.46,0.46,0.46,Matches,4535ab5d
39,Robert Arboleda,ec ECU,DF,São Paulo,33,1991,24,22,2057,22.9,3,0,3,3,0,0,4,0,0.13,0.00,0.13,0.13,0.13,Matches,269dbfc6
40,Lucas Arcanjo,br BRA,GK,Vitória,26,1998,29,29,2545,28.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,21803aa2
41,Matias Arezo,uy URU,FW,Grêmio,22,2002,8,3,268,3.0,1,1,2,1,0,0,1,0,0.34,0.34,0.67,0.34,0.67,Matches,484ebdb0
42,Jhon Arias,co COL,MFFW,Fluminense,27,1997,12,12,1079,12.0,1,4,5,0,1,1,1,0,0.08,0.33,0.42,0.00,0.33,Matches,86d96066
43,Santiago Arias,co COL,DF,Bahia,33,1992,21,15,1419,15.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,fdd60087
44,Giorgian de Arrascaeta,uy URU,MF,Flamengo,30,1994,33,30,2350,26.1,18,14,32,16,2,3,3,0,0.69,0.54,1.23,0.61,1.15,Matches,be8d02dd
45,Keny Arroyo,ec ECU,MF,Cruzeiro,18,2006,13,7,646,7.2,2,1,3,2,0,0,4,0,0.28,0.14,0.42,0.28,0.42,Matches,a9c426f6
46,Arthur,br BRA,FW,Sport Recife,21,2003,6,1,200,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e93fed32
47,Artur,br BRA,MF,Botafogo–RJ,26,1998,28,22,1917,21.3,5,4,9,5,0,0,3,0,0.23,0.19,0.42,0.23,0.42,Matches,105132cd
48,Rodrigo Atencio,ar ARG,MF,Sport Recife,22,2002,19,2,544,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5540acb4
49,Loide Augusto,ao ANG,MF,Vasco da Gama,24,2000,10,2,192,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,aea6ca59
50,Leo Augusto Pereira,br BRA,FWMF,Vitória,24,2000,6,0,166,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a3818875
51,Leo Augusto Pereira,br BRA,MFFW,Sport Recife,24,2000,16,13,1108,12.3,3,1,4,3,0,0,0,0,0.24,0.08,0.32,0.24,0.32,Matches,a3818875
52,Renato Augusto,br BRA,MF,Fluminense,36,1988,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,83a6367a
53,Gastón Ávila,ar ARG,DF,Fortaleza,23,2001,27,25,2321,25.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,f648b2e1
